ax(g),ay(g),az(g),wx(deg/s),wy(deg/s),wz(deg/s),AngleX(deg),AngleY(deg),AngleZ(deg)
0.3872,0.0234,1.3188,5.7373,-146.0571,4.8828,-1.0107,11.2115,-58.3264
-0.0259,0.3184,1.2969,25.4517,-130.3101,-6.7139,-0.9119,10.5304,-58.3209
0.0356,0.3232,1.4082,11.3525,-116.333,-14.6484,-0.8185,9.9207,-58.3978
0.4277,0.0474,1.5132,-29.1138,-110.4126,11.7188,-0.8789,9.3604,-58.4033
0.7397,-0.1436,1.4419,-55.3589,-117.4316,54.5654,-1.0876,8.7946,-58.2001
0.7222,-0.0332,1.2412,-47.1802,-122.3145,71.4722,-1.3019,8.1958,-57.843
0.3848,0.1807,1.063,-26.001,-115.2344,57.6782,-1.4227,7.608,-57.5244
0.0166,0.2271,1.0024,-17.7002,-100.769,40.5273,-1.4886,7.0807,-57.2772
-0.1367,0.1147,1.0166,-28.8086,-89.5386,35.4614,-1.582,6.6193,-57.0795
-0.0249,0.0059,1.0386,-42.3584,-83.374,37.7197,-1.7468,6.1963,-56.8872
0.2192,-0.0747,1.0361,-46.875,-79.7729,41.9312,-1.9556,5.8008,-56.6895
0.4263,-0.1738,1.0166,-45.3491,-78.3081,47.6074,-2.1588,5.4108,-56.4478
0.4775,-0.2734,1.001,-40.1611,-75.6836,57.1289,-2.3511,5.0372,-56.1676
0.3901,-0.2739,0.9731,-30.8838,-71.6553,67.2607,-2.4994,4.6857,-55.8325
0.2593,-0.1548,0.9409,-18.9819,-68.8477,72.937,-2.5873,4.3506,-55.481
0.123,-0.061,0.9512,-11.9019,-67.1387,70.6787,-2.6257,4.032,-55.1019
-0.0088,-0.0879,1.001,-16.2354,-63.5986,61.3403,-2.6752,3.7134,-54.7614
-0.0869,-0.1499,1.0137,-25.1465,-57.9834,46.6309,-2.7686,3.4277,-54.4812
-0.085,-0.1777,0.9351,-22.1558,-52.6123,23.6816,-2.8784,3.1641,-54.3219
-0.0649,-0.188,0.8794,-9.8267,-50.4761,8.2397,-2.9498,2.9114,-54.2395
-0.0596,-0.1855,0.8931,-1.77,-49.1333,1.709,-2.9718,2.6642,-54.212
-0.0444,-0.1538,0.9521,-2.0142,-48.2788,1.9531,-2.9773,2.4225,-54.1901
-0.0015,-0.0947,1.0093,-6.958,-46.875,4.7607,-2.9993,2.1863,-54.1791
0.0337,-0.063,1.0435,-11.1084,-45.5933,5.4932,-3.0432,1.9556,-54.1406
0.0361,-0.085,1.0518,-12.8784,-43.2129,2.1973,-3.1091,1.7358,-54.1132
0.0396,-0.1074,1.0625,-18.0664,-39.0015,2.6855,-3.186,1.5326,-54.0912
0.0396,-0.1006,1.0386,-20.2637,-34.0576,5.0049,-3.2849,1.3513,-54.0802
0.0488,-0.084,0.9839,-15.8691,-31.25,4.9438,-3.3728,1.1975,-54.0472
0.062,-0.0835,0.9697,-12.4512,-31.7383,5.188,-3.4442,1.0382,-54.0143
0.0557,-0.0801,1.0068,-13.6719,-32.3486,5.4321,-3.5046,0.8789,-53.9758
0.0527,-0.0815,1.0303,-15.7471,-30.9448,4.9438,-3.5815,0.7251,-53.9648
0.0547,-0.0869,1.0176,-15.564,-31.25,5.5542,-3.6584,0.5713,-53.9264
0.0498,-0.105,1.0195,-15.564,-33.3252,7.5684,-3.7354,0.4065,-53.8824
0.0249,-0.1274,1.0322,-17.395,-34.1797,5.7373,-3.8177,0.2417,-53.8385
-0.0005,-0.1445,1.0225,-18.7378,-33.6304,0,-3.9111,0.0714,-53.833
-0.0044,-0.1504,0.9966,-16.5405,-32.3486,-4.2725,-3.999,-0.0879,-53.8385
0.0132,-0.1445,0.979,-13.1226,-31.311,-5.0659,-4.0759,-0.2472,-53.8495
0.0317,-0.1396,0.9795,-11.5967,-30.4565,-5.249,-4.1309,-0.401,-53.866
0.0381,-0.1426,0.9854,-11.3525,-29.6021,-6.4087,-4.1913,-0.5548,-53.9044
0.0342,-0.1543,0.9868,-10.1929,-28.8086,-7.3853,-4.2407,-0.7031,-53.9319
0.0288,-0.1641,0.9868,-8.3618,-28.3813,-7.8735,-4.2902,-0.8514,-53.9594
0.0308,-0.1587,0.9888,-7.5073,-26.7944,-9.8877,-4.3286,-0.9888,-53.9923
0.0381,-0.1602,0.981,-7.2021,-25.3906,-12.146,-4.3616,-1.1206,-54.0637
0.0449,-0.1729,0.9668,-5.5542,-24.231,-12.5122,-4.3945,-1.2524,-54.1132
0.043,-0.1787,0.9565,-3.3569,-23.8647,-11.7798,-4.4165,-1.3788,-54.1681
0.0371,-0.1846,0.9546,-1.9531,-24.231,-12.6343,-4.4275,-1.4996,-54.2175
0.0356,-0.189,0.96,-0.9155,-24.5972,-14.3433,-4.4275,-1.626,-54.2999
0.042,-0.1719,0.9692,-0.7324,-24.4751,-14.4043,-4.433,-1.7578,-54.3658
0.0488,-0.1479,0.9736,0,-24.6582,-14.4653,-4.433,-1.8896,-54.4263
0.0586,-0.1338,0.9824,0,-25.0244,-14.4653,-4.433,-2.016,-54.4867
0.062,-0.1333,0.9917,-0.4883,-24.7803,-13.855,-4.4275,-2.1478,-54.5746
0.0649,-0.1343,0.9971,-1.4648,-24.0479,-12.6343,-4.433,-2.2687,-54.6295
0.0605,-0.1348,0.9941,-1.6479,-23.9258,-11.9629,-4.444,-2.4005,-54.679
0.061,-0.1353,0.9927,-1.6479,-24.1699,-11.9629,-4.444,-2.5214,-54.7284
0.0679,-0.1318,0.9932,-2.0142,-24.9634,-12.2681,-4.4495,-2.6477,-54.8053
0.0786,-0.1201,0.9917,-2.6245,-24.8413,-11.7798,-4.4604,-2.7795,-54.8547
0.0884,-0.1123,0.9858,-2.2583,-25.6958,-11.2915,-4.4769,-2.9114,-54.9042
0.0957,-0.1191,0.9902,-2.1973,-26.001,-10.5591,-4.4824,-3.0432,-54.9481
0.0918,-0.1362,0.9912,-2.9907,-26.6724,-8.7891,-4.4934,-3.1805,-55.0085
0.0771,-0.1494,0.9893,-4.1504,-27.1606,-6.4087,-4.5099,-3.3179,-55.036
0.0537,-0.1509,0.978,-4.2114,-27.5879,-6.2866,-4.5319,-3.4552,-55.0525
0.0386,-0.1484,0.9707,-3.54,-28.1372,-7.2632,-4.5483,-3.598,-55.0745
0.0322,-0.1519,0.9683,-2.6245,-28.9307,-8.3618,-4.5593,-3.7463,-55.1239
0.0273,-0.1606,0.9727,-1.9531,-30.0903,-9.2163,-4.5703,-3.8947,-55.1569
0.021,-0.1665,0.9814,-1.2817,-32.3486,-9.8877,-4.5813,-4.0594,-55.1953
0.019,-0.1523,0.9971,-1.5259,-33.5083,-11.9019,-4.5813,-4.2297,-55.2393
0.0273,-0.1328,1.0039,-2.3804,-34.1187,-15.1978,-4.5868,-4.4,-55.3107
0.0371,-0.1313,0.9985,-1.5259,-34.9731,-17.5781,-4.5923,-4.5813,-55.3821
0.0537,-0.1328,0.9907,-1.0376,-35.8276,-17.4561,-4.5923,-4.7681,-55.459
0.0859,-0.1182,0.9995,-2.3804,-36.7432,-16.9678,-4.5978,-4.9548,-55.5304
0.1001,-0.1113,1.0049,-2.3193,-36.5601,-18.4326,-4.5978,-5.1416,-55.6238
0.1172,-0.1104,1.0005,-2.5635,-36.499,-17.9443,-4.6033,-5.3339,-55.7007
0.0947,-0.0488,0.9775,-6.8359,-40.0391,-24.7192,-4.6252,-5.5371,-55.7886
0.0469,0.0283,1.0083,-15.9302,-41.4429,-41.8701,-4.6692,-5.7568,-55.9534
0.064,-0.1035,1.022,-19.4702,-42.8467,-42.2363,-4.7406,-5.9821,-56.1786
0.1367,-0.2456,0.9951,-11.6577,-43.1519,-28.5645,-4.801,-6.2128,-56.3324
